,0,1,cancer_type
TCGA-34-8455-01A,-41.43537,-6.904418,TCGA-LUSC
TCGA-34-8456-01A,-47.378803,-1.0914328,TCGA-LUSC
TCGA-34-A5IX-01A,-42.86421,-9.68046,TCGA-LUSC
TCGA-35-5375-01A,-24.955725,3.178757,TCGA-LUAD
TCGA-37-5819-01A,-35.280254,10.930048,TCGA-LUSC
TCGA-37-A5EL-01A,-48.75536,4.2046404,TCGA-LUSC
TCGA-37-A5EM-01A,-46.284206,-3.8987787,TCGA-LUSC
TCGA-37-A5EN-01A,-46.088116,0.14121862,TCGA-LUSC
TCGA-38-4631-01A,-32.13632,4.4994807,TCGA-LUAD
TCGA-38-4632-01A,-24.508297,5.158278,TCGA-LUAD
TCGA-38-4632-11A,-16.727373,13.49591,TCGA-LUAD
TCGA-38-6178-01A,-25.795715,10.915923,TCGA-LUAD
TCGA-38-7271-01A,-25.899588,4.986005,TCGA-LUAD
TCGA-38-A44F-01A,-20.954823,11.283733,TCGA-LUAD
TCGA-39-5011-01A,-28.57221,1.9976892,TCGA-LUSC
TCGA-39-5016-01A,-47.119385,6.2426195,TCGA-LUSC
TCGA-39-5019-01A,-43.98455,-0.14646433,TCGA-LUSC
TCGA-39-5021-01A,-44.120274,-0.026055349,TCGA-LUSC
TCGA-39-5022-01A,-42.110928,-1.2604759,TCGA-LUSC
TCGA-39-5024-01A,-42.302505,-1.8187152,TCGA-LUSC
TCGA-39-5027-01A,-47.574505,-1.9651102,TCGA-LUSC
TCGA-39-5028-01A,-47.257565,-4.9310894,TCGA-LUSC
TCGA-39-5029-01A,-47.197308,-4.848136,TCGA-LUSC
TCGA-39-5030-01A,-57.69382,-5.5774913,TCGA-LUSC
TCGA-39-5031-01A,-44.28368,-0.018234607,TCGA-LUSC
TCGA-39-5034-01A,-33.739075,16.102028,TCGA-LUSC
TCGA-39-5035-01A,-58.34209,-5.4965234,TCGA-LUSC
TCGA-39-5036-01A,-47.80448,6.9846644,TCGA-LUSC
TCGA-39-5037-01A,-47.966908,7.5383716,TCGA-LUSC
TCGA-39-5039-01A,-47.25679,-4.93101,TCGA-LUSC
TCGA-39-5040-01A,-36.895073,5.672452,TCGA-LUSC
TCGA-3A-A9I5-01A,-14.481814,-7.687322,TCGA-PAAD
TCGA-3A-A9I7-01A,-17.4741,-4.93346,TCGA-PAAD
TCGA-3A-A9I9-01A,-15.858333,-4.656032,TCGA-PAAD
TCGA-3A-A9IB-01A,-15.879182,-3.0238996,TCGA-PAAD
TCGA-3A-A9IC-01A,-15.124784,-2.657876,TCGA-PAAD
TCGA-3A-A9IH-01A,-14.344371,-4.0927,TCGA-PAAD
TCGA-3A-A9IJ-01A,61.86504,-21.689663,TCGA-PAAD
TCGA-3A-A9IL-01A,61.109516,-22.041977,TCGA-PAAD
TCGA-3A-A9IN-01A,61.153137,-21.993593,TCGA-PAAD
TCGA-3A-A9IO-01A,61.598705,-21.707216,TCGA-PAAD
TCGA-3A-A9IR-01A,61.035717,-21.074036,TCGA-PAAD
TCGA-3A-A9IS-01A,61.265884,-21.816952,TCGA-PAAD
TCGA-3A-A9IU-01A,-13.356508,-2.6133106,TCGA-PAAD
TCGA-3A-A9IV-01A,61.14931,-21.878376,TCGA-PAAD
TCGA-3A-A9IX-01A,-17.909376,-5.2946587,TCGA-PAAD
TCGA-3A-A9IZ-01A,-14.505652,-2.4180117,TCGA-PAAD
TCGA-3A-A9J0-01A,-14.901756,-3.7731466,TCGA-PAAD
TCGA-3B-A9HI-01A,1.670052,-27.43442,TCGA-SARC
TCGA-3B-A9HJ-01A,12.78141,-31.732656,TCGA-SARC
TCGA-3B-A9HL-01A,2.711621,-25.798971,TCGA-SARC
TCGA-3B-A9HO-01A,6.0829163,-26.984806,TCGA-SARC
TCGA-3B-A9HP-01A,2.7286487,-19.115204,TCGA-SARC
TCGA-3B-A9HQ-01A,4.28337,-19.790674,TCGA-SARC
TCGA-3B-A9HR-01A,3.0450928,-20.98386,TCGA-SARC
TCGA-3B-A9HS-01A,3.9572356,-25.623709,TCGA-SARC
TCGA-3B-A9HT-01A,7.435496,-31.825375,TCGA-SARC
TCGA-3B-A9HU-01A,4.485777,-19.815237,TCGA-SARC
TCGA-3B-A9HV-01A,0.48729426,-22.125874,TCGA-SARC
