,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-GS-A9U3-01A,2.4333274,4.6859245,0.3202905,0.12805903,7.2420874,11.849716,4.626586,6.517351,3.6353416,0.0,0.0,3.3547764,4.3300223,4.2106357,1.6632074,6.340643,1.9876431,0.0,8.683828,0.0,4.4311104,0.7971536,4.5473566,0.0,2.0173814,5.1207776,10.840335,0.13134027,0.17137942,3.369422,2.8098648
TCGA-GS-A9U4-01A,1.4974264,6.5218606,2.1284816,0.0,9.494641,10.536786,2.7154763,4.972403,0.0,0.8828279,0.0,7.690015,0.82445717,2.5011134,4.3029513,18.329538,3.518236,4.138063,5.780001,0.0,3.0969136,1.2647396,0.031042919,0.0,3.443673,7.7328672,7.581948,2.0150924,0.0,1.6712934,3.5765646
TCGA-GU-A42P-01A,6.7546005,2.530898,6.4439845,9.917266,10.154161,0.3684896,4.2470717,5.0719357,0.0,0.0,0.0,12.907275,11.325762,7.919682,22.725342,1.690305,6.5500245,21.159435,0.0,0.0,0.0,4.5871177,8.17579,4.287265,2.7168891,2.7969787,3.7792835,0.7264683,0.47060195,12.489252,11.085068
TCGA-GU-A42Q-01A,0.0,1.9345622,15.005127,4.2922664,4.9859066,2.9403577,5.4153624,1.039119,0.0,1.2705421,0.0,6.681086,3.2962618,5.0961185,11.453907,10.024679,8.177662,12.3535385,10.373833,0.0,1.1044801,0.0,0.0,1.012389,0.0,7.1014156,1.9571753,5.828524,2.3307827,4.941793,2.7560523
TCGA-GU-A42R-01A,6.1548223,2.0492098,13.398685,4.514191,6.1203394,1.2608684,2.77148,2.376376,0.0,3.3442955,0.0,8.271108,8.474966,9.130631,19.892895,9.586686,8.268853,7.341931,5.2173424,0.0,4.438078,0.0,0.0,3.4144578,2.195122,4.762948,2.4376724,9.27195,0.0,10.044739,3.8737526
TCGA-GU-A762-01A,4.4430804,5.777942,8.541512,0.8416968,7.2663593,8.629202,8.223614,0.5038303,0.0,1.7318907,0.0,7.7043514,5.7240953,3.7875934,4.1514807,7.124382,6.507184,1.3739017,9.689588,0.0,5.1793575,0.0,0.0,0.7102478,6.7713065,1.9655814,6.8876553,4.648734,0.0,5.9329157,3.782487
TCGA-GU-A763-01A,10.00146,1.9098103,14.498939,4.8134274,3.4144242,3.4915934,1.452675,2.1468713,0.0,0.0,0.0,7.5822887,11.056372,7.8373437,22.937147,0.12451249,11.411989,14.325377,0.0,0.0,7.817217,4.239003,17.18895,4.4861817,8.067203,3.8586082,6.2891006,0.0,0.0,11.706599,3.3183553
TCGA-GU-A764-01A,1.5920721,3.4936,2.6368992,2.9518461,8.463867,10.392402,5.2815723,0.41974157,0.0,0.70360076,0.0,8.4756975,4.980827,2.657069,4.2980466,8.022828,4.2883286,5.996092,6.060895,0.0,5.178742,0.0,4.5782766,2.725029,7.6918926,3.264937,2.3083355,0.0,0.0,8.43728,3.4624088
TCGA-GU-A766-01A,2.4682033,4.8135514,5.5231004,2.9529297,8.796577,7.2674403,2.8673832,0.0,0.0,3.6975722,0.0,10.745483,3.0248861,2.36127,8.329138,10.947182,7.5805793,3.0806518,2.6362555,0.0,6.9749727,0.0,0.0,0.0,4.739722,3.0471723,6.6113987,4.936047,0.0,4.955909,6.9628077
TCGA-GU-A767-01A,3.8631742,0.0,8.150747,1.6059606,3.97892,3.376439,0.41068202,2.5764534,0.0,0.18611538,0.0,9.100808,6.608657,8.251334,9.8339205,7.9948807,12.268494,7.4032207,4.189068,0.0,9.051248,0.0,0.0,4.8822913,4.2089925,1.3297955,6.02693,12.690659,0.0,8.688889,4.1012573
TCGA-GU-AATO-01A,5.381726,4.2535067,6.1141286,0.0,11.152042,5.653954,7.3545313,0.1070209,0.0,0.0,0.0,7.0035877,8.685265,11.463087,10.573869,5.6333585,4.7199335,4.1608644,7.505483,0.0,8.440482,0.0,0.0,4.250656,11.044626,0.0,1.3361653,6.779211,0.0,10.149268,2.9495115
TCGA-GU-AATP-01A,7.2721586,1.581105,3.8634455,4.595236,8.6217,3.0660965,4.5026445,0.9896806,0.0,0.8038087,0.0,14.402973,6.737961,9.88831,20.74542,8.263191,10.087888,13.077744,0.0,0.0,8.630617,0.0,0.0,3.4106193,5.6434426,0.0,6.0375223,6.855101,3.3914015,10.247926,9.3167095
TCGA-GU-AATQ-01A,4.479576,1.747958,13.823075,6.254282,2.9243422,4.858897,11.0759115,0.0,1.0903742,4.6092463,0.0,6.43631,4.510988,5.308108,16.783123,0.6764093,6.83585,13.413395,1.6344147,0.0,7.7130365,0.0,5.15149,0.49027675,4.687373,5.4918556,1.0282912,0.40764928,1.62705,7.568356,6.672784
TCGA-GV-A3JV-01A,3.8836005,5.608337,6.9092364,2.7984285,2.3917012,4.4195485,4.3488073,1.1624353,0.3990826,0.0,0.0,6.00848,10.759649,9.417589,8.863868,2.6539264,2.8032534,2.0001514,7.588575,0.0,2.9669776,0.0,1.9350758,1.4627516,0.0,0.0,6.383367,6.9909396,0.0,11.903734,2.3452373
TCGA-GV-A3JW-01A,14.4507265,1.4355891,11.595216,7.2672305,6.086058,3.834531,1.5600896,3.007245,0.0,0.0,0.0,8.838441,13.529681,10.800646,23.581892,6.3897233,13.644108,5.984178,0.0,0.0,4.057975,0.9195033,4.0745463,0.0,7.033279,7.2620196,4.0572996,6.766817,0.0,18.620152,4.5585184
TCGA-GV-A3JX-01A,10.289128,6.908633,7.4641213,3.9476352,13.554931,4.860486,6.733334,0.7798601,0.0,1.2808332,0.0,3.9815419,11.988402,15.8886,15.587464,2.1044264,0.09228922,5.4664297,5.6720233,0.0,4.1534424,2.511791,0.0,5.496646,9.204255,0.0,1.1530254,4.3150115,3.579575,14.445444,5.792289
TCGA-GV-A3JZ-01A,4.1409454,4.1493554,11.195671,4.3904796,11.008661,3.5234656,1.917485,4.907058,0.0,2.1458166,0.0,10.738343,12.454503,13.100284,18.791025,2.8658054,2.187013,19.013489,3.4167335,0.0,3.991937,1.7636693,0.0,4.2756524,4.071072,9.07433,5.337816,8.35003,0.5350443,9.617209,10.641886
TCGA-GV-A3QF-01A,1.9396045,8.188172,8.223579,7.4249473,7.560914,5.8060894,0.0,0.67560726,0.0,0.0,0.0,9.69544,10.528647,8.867767,13.712861,9.328648,3.8081398,5.0568404,5.185029,0.0,2.6700442,3.4899359,9.759828,0.0,4.534526,0.0,1.0917133,0.0,0.0,11.207113,3.1933053
TCGA-GV-A3QG-01A,0.8613404,2.6435413,1.2268108,4.4861617,7.6464005,9.205342,3.1427069,0.32596964,0.0,0.11007464,0.0,6.7665854,8.272352,1.9347961,5.951253,5.885668,0.0,2.9727743,3.8429804,0.0,0.9243834,2.8140628,1.6258736,3.5291238,0.6718419,1.5225797,6.055677,0.28546572,2.733733,3.2656922,6.408433
TCGA-GV-A3QH-01A,4.916825,3.3163497,11.652533,3.7966764,8.354411,2.6166396,2.2228892,0.43280464,0.0,0.0,0.0,7.3442645,8.3122015,10.216102,22.549978,10.019942,2.880502,12.670567,3.894343,0.0,3.7907465,1.9523365,0.0,3.811778,3.4852655,3.0364904,6.1989126,6.692624,5.085765,6.609734,8.912311
