,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-18-5595-01A,0.20397358,0.21720743,0.5578535,0.36055666,0.08827716,0.23033796,0.7163896,0.11576869,0.3591669,0.09873846,0.0,0.0,0.22612654,0.22093615,0.58539355,0.026425837,0.24376515,0.15559895,0.29254803,0.0,0.2682575,0.0,0.021058002,0.3505504,0.010399886,0.29872265,0.28920656,0.23379739,0.063398,0.15113905,0.070663355
TCGA-19-0957-02A,0.0,0.15744713,0.08651991,0.27615735,0.21461911,0.17741068,0.0,0.335029,0.19075674,0.4712542,0.0,0.0,0.0,0.13725768,0.0,0.15233324,0.17172012,0.19070606,0.14695609,0.0,0.036905404,0.16527309,0.120273344,0.29891965,0.072749496,0.10910963,0.15146047,0.051477537,0.0,0.19676049,0.15125188
TCGA-19-1389-02A,0.11317839,0.37804642,0.29184872,0.19172665,0.41055068,0.26497778,0.0,0.06597916,0.047779255,0.4936162,0.0,0.0,0.0,0.011341667,0.0,0.46946698,0.29139298,0.14778973,0.13850324,0.0,0.071177,0.018848578,0.0,0.24940999,0.16516985,0.18570307,0.18686561,0.17021878,0.0,0.17035154,0.14692299
TCGA-19-4065-01A,0.201786,0.16731066,0.41117433,0.32023385,0.42652503,0.18591861,0.12246075,0.05226001,0.007471665,0.42686814,0.0,0.0,0.0,0.10019243,0.0,0.22422805,0.1754379,0.23403902,0.17883189,0.0,0.0,0.0720836,0.04448521,0.07184011,0.13778882,0.2868612,0.20418541,0.025839083,0.0,0.2323514,0.33351058
TCGA-19-4065-02A,0.14880615,0.26113284,0.29477918,0.33048722,0.45479235,0.22864822,0.0,0.07341294,0.022037325,0.4731719,0.0,0.0,0.0,0.13341886,0.0,0.38927683,0.21954843,0.22611324,0.18985653,0.0,0.008626938,0.050113995,0.0,0.14109825,0.1667825,0.16672215,0.2516562,0.11495737,0.0,0.20443211,0.23657593
TCGA-19-5960-01A,0.14179432,0.27156582,0.2119141,0.40654534,0.48297635,0.08294729,0.0,0.23175837,0.19405052,0.70530933,0.0,0.0,0.0,0.10664068,0.0013779921,0.094036035,0.18823002,0.11532681,0.26180926,0.0,0.0,0.22683303,0.03998496,0.4540815,0.23236814,0.2732778,0.32099205,0.29822165,0.0,0.38733602,0.105003305
TCGA-21-5782-01A,0.2918136,0.0,0.2881532,0.50022846,0.1484972,0.12641504,0.3260211,0.37268713,0.093721576,0.14279337,0.0,0.31353533,0.12084823,0.10245684,0.25811836,0.19283919,0.17664309,0.27313194,0.21446493,0.0,0.25626573,0.0,0.15867518,0.13022205,0.0015055073,0.550296,0.38384145,0.0,0.061352637,0.48671618,0.0
TCGA-21-5783-01A,0.031713184,0.06281456,0.21357912,0.3200292,0.28240427,0.26375246,0.6367166,0.14163098,0.0,0.50927144,0.0,0.06678267,0.0,0.1709602,0.35768524,0.18166187,0.18772215,0.3994813,0.29887667,0.1966792,0.24394687,0.0,0.0,0.17939495,0.09345228,0.23013182,0.14025967,0.4312085,0.0,0.47530907,0.2587111
TCGA-21-5784-01A,0.046476755,0.09708365,0.26960057,0.27173695,0.2520596,0.41432786,0.2995929,0.2209898,0.12421582,0.08884217,0.0,0.1178737,0.22232886,0.20816538,0.15313767,0.32160884,0.30497807,0.08052626,0.064428456,0.0,0.5931413,0.0,0.0019285373,0.12872835,0.13349162,0.2988428,0.09928475,0.00787421,0.0,0.19138692,0.0
TCGA-21-5786-01A,0.030031752,0.0,0.32830453,0.45832026,0.3703359,0.3860153,0.5344279,0.123682514,0.0,0.44458812,0.0,0.3534193,0.15533014,0.26388395,0.36517203,0.21041311,0.24385096,0.24408211,0.28181928,0.21894309,0.35193676,0.0,0.0,0.14232172,0.1571886,0.0,0.25242373,0.46306393,0.0,0.19558594,0.2855895
TCGA-21-5787-01A,0.16655372,0.0038725291,0.39556676,0.1929713,0.61071086,0.3454557,0.6812604,0.09661284,0.0,0.0,0.0,0.54271877,0.16176048,0.19616261,0.30222887,0.27003476,0.07870782,0.29065883,0.06498171,0.0,0.15952055,0.14069094,0.0,0.14842434,0.22727384,0.62685454,0.011679756,0.27717948,0.117613494,0.0,0.23670758
TCGA-21-A5DI-01A,0.12055005,0.16011794,0.23176055,0.10894398,0.22497399,0.30628875,0.46252126,0.0,0.0,0.23341581,0.0,0.1461799,0.28112048,0.026150327,0.30469075,0.29060385,0.21412954,0.21508126,0.15718697,0.0,0.46503484,0.0,0.0,0.097112946,0.08340201,0.19513941,0.11164939,0.0,0.0,0.29101983,0.08834914
TCGA-22-4593-01A,0.1399261,0.10632474,0.30948663,0.418343,0.39343548,0.30078664,0.45997813,0.08876878,0.15203267,0.3374765,0.0,0.15785722,0.05080713,0.17867953,0.44626802,0.014168189,0.16440038,0.2632001,0.1819599,0.0,0.33844405,0.0,0.048192486,0.17228459,0.085603416,0.0,0.09435324,0.14472395,0.0,0.52940065,0.19353022
TCGA-22-4599-01A,0.08135585,0.011885381,0.40717295,0.3890821,0.28957036,0.50791067,0.3099808,0.24552923,0.0,0.55774736,0.0,0.2621993,0.19644101,0.25872305,0.4620744,0.22707188,0.1912962,0.13105601,0.07724866,0.0,0.49476814,0.0,0.0,0.0,0.17754962,0.34337658,0.29517636,0.34021622,0.010070982,0.06458182,0.059218917
TCGA-22-4601-01A,0.139187,0.0,0.5202287,0.44954562,0.17655835,0.21961509,0.64851415,0.49552172,0.0,0.48191106,0.0,0.066768326,0.41341937,0.4792933,0.5537428,0.33068773,0.2425991,0.25818664,0.31970185,0.0,0.44249216,0.0,0.0,0.0,0.33962795,0.4480079,0.0057109236,0.4883439,0.0,0.023182277,0.16378169
TCGA-22-4605-01A,0.0,0.0,0.43309292,0.3020705,0.13239631,0.35478038,0.28943974,0.17907357,0.025203282,0.14837891,0.0,0.123751126,0.22078754,0.20318612,0.2695281,0.3325662,0.20579986,0.13680926,0.11132006,0.0,0.3932122,0.0,0.0,0.18484142,0.013064966,0.3223994,0.002590409,0.0,0.098255485,0.13193385,0.08046535
TCGA-22-4609-01A,0.08124431,0.08472728,0.27570984,0.2679928,0.3329232,0.39536133,0.24973096,0.09808798,0.1068479,0.1765707,0.0,0.0,0.36909953,0.074059926,0.29278335,0.25317353,0.20960525,0.108968206,0.096062146,0.0,0.47141734,0.0,0.099884294,0.18027566,0.0,0.29074734,0.2340842,0.06593834,0.07591284,0.3783498,0.0011095573
TCGA-22-4613-01A,0.0,0.0,0.2935274,0.36660868,0.18442558,0.43738294,0.30966547,0.23940216,0.15046395,0.2657948,0.0,0.33750278,0.2945628,0.1724385,0.49816838,0.15245785,0.21636428,0.32303134,0.0680484,0.0,0.37136993,0.0,0.038291074,0.14705804,0.05265488,0.42509827,0.14334147,0.0,0.086620785,0.008031543,0.029248934
TCGA-22-5471-01A,0.22951144,0.017093755,0.3201717,0.44551829,0.32465774,0.3628983,0.42695442,0.08615078,0.058393147,0.38266224,0.0,0.38757032,0.21255882,0.26937768,0.42467698,0.21149655,0.27184623,0.18778758,0.25758648,0.0,0.5514545,0.0,0.0,0.0,0.10975969,0.15787499,0.2547765,0.27208152,0.06575849,0.13904378,0.03045755
