,0,1,cancer_type
TCGA-2G-AAKG-05A,-0.04274276,-9.694401,TCGA-TGCT
TCGA-2G-AAKH-01A,-0.0017821832,-11.332559,TCGA-TGCT
TCGA-2G-AAKL-01A,1.2247592,-10.859312,TCGA-TGCT
TCGA-2G-AAKM-01A,1.1305847,-10.6973715,TCGA-TGCT
TCGA-2G-AAKO-01A,-1.4874339,-14.074769,TCGA-TGCT
TCGA-2G-AAKO-05A,-1.3666894,-14.128842,TCGA-TGCT
TCGA-2G-AAL5-01A,4.176993,-10.442563,TCGA-TGCT
TCGA-2G-AAL7-01A,1.2591087,-10.839814,TCGA-TGCT
TCGA-2G-AALF-01A,0.49571213,6.0934305,TCGA-TGCT
TCGA-2G-AALG-01A,2.9490352,-9.031291,TCGA-TGCT
TCGA-2G-AALN-01A,4.1224957,-10.242212,TCGA-TGCT
TCGA-2G-AALO-01A,2.8537078,-8.891662,TCGA-TGCT
TCGA-2G-AALP-01A,1.5914971,-10.989254,TCGA-TGCT
TCGA-2G-AALQ-01A,4.13815,-9.986203,TCGA-TGCT
TCGA-2G-AALR-01A,18.763954,4.3166337,TCGA-TGCT
TCGA-2G-AALS-01A,-2.258269,-11.121011,TCGA-TGCT
TCGA-2G-AALT-01A,3.7458644,-9.279736,TCGA-TGCT
TCGA-2G-AALW-01A,3.280744,-10.077619,TCGA-TGCT
TCGA-2G-AALX-01A,4.247572,-10.239848,TCGA-TGCT
TCGA-2G-AALY-01A,2.8008008,-10.141995,TCGA-TGCT
TCGA-2G-AALZ-01A,3.7653248,-9.185093,TCGA-TGCT
TCGA-2G-AAM2-01A,2.8320518,-10.529908,TCGA-TGCT
TCGA-2G-AAM3-01A,3.7201319,-9.343309,TCGA-TGCT
TCGA-2G-AAM4-01A,2.8139615,-10.384955,TCGA-TGCT
TCGA-2H-A9GF-01A,-29.350729,5.481523,TCGA-ESCA
TCGA-2H-A9GG-01A,-22.173927,2.2064457,TCGA-ESCA
TCGA-2H-A9GH-01A,-31.938618,3.72384,TCGA-ESCA
TCGA-2H-A9GI-01A,-31.581913,4.157526,TCGA-ESCA
TCGA-2H-A9GJ-01A,-21.70473,3.8102393,TCGA-ESCA
TCGA-2H-A9GK-01A,-31.134047,-0.10828761,TCGA-ESCA
TCGA-2H-A9GL-01A,-31.616072,6.0976324,TCGA-ESCA
TCGA-2H-A9GM-01A,-20.561804,6.442439,TCGA-ESCA
TCGA-2H-A9GN-01A,-30.523384,5.869473,TCGA-ESCA
TCGA-2H-A9GO-01A,-21.736626,4.67439,TCGA-ESCA
TCGA-2H-A9GQ-01A,-17.427544,5.0255203,TCGA-ESCA
TCGA-2H-A9GR-01A,-30.08149,1.9854152,TCGA-ESCA
TCGA-2J-AAB1-01A,-31.951097,-4.714387,TCGA-PAAD
TCGA-2J-AAB4-01A,-29.344763,-6.8341637,TCGA-PAAD
TCGA-2J-AAB6-01A,-9.530397,3.109268,TCGA-PAAD
TCGA-2J-AAB8-01A,-29.640488,-4.0764966,TCGA-PAAD
TCGA-2J-AAB9-01A,-26.76894,-6.812345,TCGA-PAAD
TCGA-2J-AABA-01A,-27.06893,-4.6787114,TCGA-PAAD
TCGA-2J-AABE-01A,-30.03874,-4.7831664,TCGA-PAAD
TCGA-2J-AABF-01A,-29.461231,-5.144982,TCGA-PAAD
TCGA-2J-AABH-01A,-32.94084,-5.1142883,TCGA-PAAD
TCGA-2J-AABI-01A,-32.09988,-3.4493709,TCGA-PAAD
TCGA-2J-AABK-01A,-28.313148,-7.772933,TCGA-PAAD
TCGA-2J-AABO-01A,-29.93412,-4.043976,TCGA-PAAD
TCGA-2J-AABP-01A,4.1393857,8.56768,TCGA-PAAD
TCGA-2J-AABR-01A,-26.145212,-6.507992,TCGA-PAAD
TCGA-2J-AABT-01A,-25.52946,-4.2266164,TCGA-PAAD
TCGA-2J-AABU-01A,-29.353743,-4.166926,TCGA-PAAD
TCGA-2J-AABV-01A,-28.405804,-7.7643647,TCGA-PAAD
TCGA-2K-A9WE-01A,-6.29381,-16.900887,TCGA-KIRP
TCGA-2L-AAQA-01A,-32.805416,-3.7301211,TCGA-PAAD
TCGA-2L-AAQE-01A,-30.769466,-3.099059,TCGA-PAAD
TCGA-2L-AAQI-01A,-29.14117,-7.3786373,TCGA-PAAD
TCGA-2L-AAQJ-01A,-31.294239,-3.0247433,TCGA-PAAD
TCGA-2L-AAQL-01A,-30.66503,-6.4524293,TCGA-PAAD
TCGA-2L-AAQM-01A,22.499668,-15.406339,TCGA-PAAD
TCGA-2V-A95S-01A,12.1398,13.586841,TCGA-LIHC
TCGA-2W-A8YY-01A,13.591332,0.7536876,TCGA-CESC
TCGA-2X-A9D5-01A,0.90407723,-14.670316,TCGA-TGCT
TCGA-2X-A9D6-01A,0.12164508,-14.568752,TCGA-TGCT
TCGA-2Y-A9GS-01A,12.835955,15.440935,TCGA-LIHC
TCGA-2Y-A9GT-01A,11.847954,13.287176,TCGA-LIHC
TCGA-2Y-A9GU-01A,15.711086,7.0739517,TCGA-LIHC
TCGA-2Y-A9GV-01A,11.837476,11.344037,TCGA-LIHC
TCGA-2Y-A9GW-01A,12.729389,12.083655,TCGA-LIHC
TCGA-2Y-A9GX-01A,0.3921746,8.960446,TCGA-LIHC
TCGA-2Y-A9GY-01A,-0.73985416,9.182175,TCGA-LIHC
TCGA-2Y-A9GZ-01A,11.714919,15.492454,TCGA-LIHC
TCGA-2Y-A9H0-01A,13.673633,16.804762,TCGA-LIHC
TCGA-2Y-A9H1-01A,15.690448,14.02906,TCGA-LIHC
TCGA-2Y-A9H2-01A,14.114955,4.4786153,TCGA-LIHC
TCGA-2Y-A9H3-01A,13.675806,10.18289,TCGA-LIHC
TCGA-2Y-A9H4-01A,15.295857,13.831877,TCGA-LIHC
TCGA-2Y-A9H5-01A,16.004011,9.393697,TCGA-LIHC
TCGA-2Y-A9H6-01A,14.932379,5.577279,TCGA-LIHC
TCGA-2Y-A9H7-01A,17.969894,15.153251,TCGA-LIHC
TCGA-2Y-A9H8-01A,16.08183,9.48553,TCGA-LIHC
TCGA-2Y-A9H9-01A,15.103142,13.564346,TCGA-LIHC
TCGA-2Y-A9HA-01A,13.200819,16.77391,TCGA-LIHC
TCGA-2Y-A9HB-01A,15.544724,12.095958,TCGA-LIHC
TCGA-2Z-A9J1-01A,-1.6543522,-20.197432,TCGA-KIRP
TCGA-2Z-A9J2-01A,-2.8946633,-25.273607,TCGA-KIRP
TCGA-2Z-A9J3-01A,-9.763928,-29.227139,TCGA-KIRP
TCGA-2Z-A9J5-01A,-10.959579,-26.805447,TCGA-KIRP
TCGA-2Z-A9J6-01A,-10.232181,-28.152496,TCGA-KIRP
TCGA-2Z-A9J7-01A,-4.5590825,-22.46986,TCGA-KIRP
TCGA-2Z-A9J8-01A,-8.400037,-26.559917,TCGA-KIRP
TCGA-2Z-A9J9-01A,6.3537846,-16.070513,TCGA-KIRP
TCGA-2Z-A9JD-01A,-7.9768286,-30.263243,TCGA-KIRP
TCGA-2Z-A9JE-01A,-10.7621765,-29.84491,TCGA-KIRP
TCGA-2Z-A9JG-01A,-7.7895474,-26.125893,TCGA-KIRP
TCGA-2Z-A9JI-01A,-8.592773,-21.00662,TCGA-KIRP
TCGA-2Z-A9JJ-01A,5.2952094,-17.077612,TCGA-KIRP
TCGA-2Z-A9JK-01A,-2.6597016,-24.298841,TCGA-KIRP
