,0,1,cancer_type
TCGA-4Z-AA84-01A-11R-A39I-07,-2.354155,17.242527,TCGA-BLCA
TCGA-FD-A6TC-01A-21R-A33J-07,-7.5376267,19.739302,TCGA-BLCA
TCGA-FD-A6TD-01A-51R-A33J-07,-2.2592132,14.511866,TCGA-BLCA
TCGA-G2-AA3F-01A-12R-A42T-07,-7.5873604,23.039804,TCGA-BLCA
TCGA-K4-A3WU-01B-11R-A23N-07,-7.512664,19.147398,TCGA-BLCA
TCGA-HQ-A2OF-01A-11R-A26T-07,14.493452,29.541498,TCGA-BLCA
TCGA-DK-AA77-01A-11R-A39I-07,-9.072207,22.450806,TCGA-BLCA
TCGA-BL-A13J-11A-13R-A10U-07,-7.2397356,-1.4079105,TCGA-BLCA
TCGA-GD-A3OP-11A-11R-A220-07,-7.226942,17.396032,TCGA-BLCA
TCGA-UY-A78N-01A-12R-A33J-07,-8.427851,21.158512,TCGA-BLCA
TCGA-CU-A0YN-11A-11R-A10U-07,-7.2426896,-1.3795567,TCGA-BLCA
TCGA-PQ-A6FI-01A-11R-A31N-07,0.2671359,17.357914,TCGA-BLCA
TCGA-4Z-AA87-01A-11R-A39I-07,-6.352731,20.924706,TCGA-BLCA
TCGA-FJ-A3ZE-01A-11R-A23N-07,-8.171656,21.550348,TCGA-BLCA
TCGA-BL-A0C8-01A-11R-A10U-07,-6.8379,22.839672,TCGA-BLCA
TCGA-K4-A5RI-11A-11R-A28M-07,-6.1753325,15.7548485,TCGA-BLCA
TCGA-UY-A78K-01A-11R-A33J-07,-7.5400467,19.18767,TCGA-BLCA
TCGA-DK-A3IS-01A-21R-A21D-07,-6.3342633,20.44926,TCGA-BLCA
TCGA-FT-A3EE-01A-11R-A206-07,-6.2671666,18.753653,TCGA-BLCA
TCGA-XF-AAMZ-01A-11R-A42T-07,-4.8585134,20.175472,TCGA-BLCA
TCGA-CF-A47V-01A-11R-A23W-07,-9.713582,22.056026,TCGA-BLCA
TCGA-GV-A6ZA-01A-12R-A33J-07,-8.642767,21.063955,TCGA-BLCA
TCGA-K4-A4AC-01A-21R-A26T-07,0.18072702,17.520878,TCGA-BLCA
TCGA-XF-AAN1-01A-31R-A42T-07,-9.211771,22.650896,TCGA-BLCA
TCGA-ZF-AA4V-01A-11R-A38B-07,-2.076161,17.034437,TCGA-BLCA
TCGA-XF-AAMG-01A-11R-A42T-07,-6.9459333,21.162712,TCGA-BLCA
TCGA-DK-AA6M-01A-11R-A39I-07,-3.5312421,16.679499,TCGA-BLCA
TCGA-GV-A3QI-01A-11R-A220-07,8.420343,11.016536,TCGA-BLCA
TCGA-DK-A6B5-01A-11R-A31N-07,-5.714889,22.844452,TCGA-BLCA
TCGA-G2-A2ES-01A-11R-A180-07,0.9394029,18.10355,TCGA-BLCA
TCGA-CF-A8HX-01A-11R-A36F-07,-10.358154,21.535316,TCGA-BLCA
TCGA-BL-A13J-01B-04R-A277-07,29.842571,-6.622999,TCGA-BLCA
TCGA-2F-A9KQ-01A-11R-A38B-07,-9.137392,22.493675,TCGA-BLCA
TCGA-K4-A54R-11A-11R-A26T-07,-7.0921283,17.443275,TCGA-BLCA
TCGA-4Z-AA86-01A-11R-A39I-07,-1.8288994,15.819303,TCGA-BLCA
TCGA-ZF-A9R4-01A-11R-A38B-07,-7.588525,23.214033,TCGA-BLCA
TCGA-BT-A0S7-01A-11R-A10U-07,4.569625,24.99385,TCGA-BLCA
TCGA-FD-A6TG-01A-11R-A32O-07,-6.7598076,19.169765,TCGA-BLCA
TCGA-GV-A40E-01A-12R-A23N-07,-0.6628863,17.030764,TCGA-BLCA
TCGA-DK-A3IM-01A-11R-A20F-07,3.4833076,17.179472,TCGA-BLCA
TCGA-4Z-AA7Q-01A-11R-A39I-07,-4.6483436,21.970644,TCGA-BLCA
TCGA-UY-A9PH-01A-11R-A38B-07,-4.962237,20.1529,TCGA-BLCA
TCGA-XF-A9SU-01A-31R-A39I-07,-4.4426074,16.994919,TCGA-BLCA
TCGA-H4-A2HQ-01A-11R-A180-07,-7.681145,21.702505,TCGA-BLCA
TCGA-DK-AA71-01A-31R-A39I-07,-5.1947465,20.64131,TCGA-BLCA
TCGA-FD-A43Y-01A-21R-A26T-07,7.027311,17.549673,TCGA-BLCA
TCGA-K4-A83P-01A-11R-A352-07,-7.267896,18.977146,TCGA-BLCA
TCGA-E7-A4IJ-01A-31R-A26T-07,-5.6316886,20.733849,TCGA-BLCA
TCGA-K4-AAQO-01A-11R-A38B-07,-5.401211,18.306814,TCGA-BLCA
TCGA-GC-A3RD-01A-12R-A22U-07,-7.014175,21.379335,TCGA-BLCA
TCGA-DK-A2I6-01A-12R-A18C-07,-0.5961809,17.00834,TCGA-BLCA
TCGA-G2-A2EO-01A-11R-A180-07,-9.040591,19.094591,TCGA-BLCA
TCGA-UY-A78M-01A-21R-A352-07,-9.139578,19.336964,TCGA-BLCA
TCGA-BT-A20U-11A-11R-A14Y-07,1.768968,27.796116,TCGA-BLCA
TCGA-XF-AAMT-01A-11R-A42T-07,6.5952396,14.736932,TCGA-BLCA
TCGA-E7-A541-01A-11R-A26T-07,-5.3560753,19.640472,TCGA-BLCA
TCGA-DK-A1A5-01A-11R-A13Y-07,-6.0244403,18.21057,TCGA-BLCA
TCGA-UY-A9PE-01A-11R-A38B-07,-5.897117,20.190226,TCGA-BLCA
TCGA-ZF-AA5P-01A-11R-A39I-07,-4.7926774,17.498886,TCGA-BLCA
TCGA-DK-A3IT-01A-31R-A20F-07,-5.436563,19.101568,TCGA-BLCA
TCGA-GV-A3JV-01A-11R-A220-07,-7.5825973,20.984383,TCGA-BLCA
TCGA-ZF-AA4N-01A-11R-A38B-07,3.7503622,19.226416,TCGA-BLCA
TCGA-C4-A0EZ-01A-21R-A24X-07,1.275978,4.210145,TCGA-BLCA
TCGA-FD-A3SO-01A-11R-A22U-07,-1.605987,17.302303,TCGA-BLCA
TCGA-FD-A62O-01A-11R-A30C-07,-8.64236,22.539465,TCGA-BLCA
TCGA-E7-A7PW-01A-11R-A352-07,22.043005,-16.704271,TCGA-BLCA
TCGA-KQ-A41S-01A-12R-A33J-07,-7.193939,17.862328,TCGA-BLCA
TCGA-K4-A6FZ-01A-11R-A31N-07,-6.3219085,18.254274,TCGA-BLCA
TCGA-ZF-A9R0-01A-11R-A38B-07,-9.4130125,22.236156,TCGA-BLCA
TCGA-FD-A3B8-01A-31R-A20F-07,-1.8001269,16.10789,TCGA-BLCA
TCGA-LT-A8JT-01A-11R-A36F-07,-8.924252,22.89258,TCGA-BLCA
TCGA-ZF-A9RD-01A-11R-A42T-07,0.41042054,24.556875,TCGA-BLCA
TCGA-BT-A42C-01A-11R-A23N-07,-7.5887694,22.023115,TCGA-BLCA
TCGA-G2-A3IB-01A-11R-A20F-07,3.3052537,18.647572,TCGA-BLCA
TCGA-FD-A5BZ-01A-11R-A28M-07,-4.453641,19.76171,TCGA-BLCA
TCGA-GU-A764-01A-11R-A352-07,-2.0960805,16.52001,TCGA-BLCA
TCGA-BT-A2LB-01A-11R-A18C-07,-6.2223926,19.417696,TCGA-BLCA
TCGA-XF-A9T6-01A-11R-A42T-07,-1.7185193,17.844883,TCGA-BLCA
TCGA-ZF-A9R5-01A-12R-A42T-07,-8.841527,23.46407,TCGA-BLCA
TCGA-DK-AA76-01A-11R-A39I-07,-6.6296897,23.003271,TCGA-BLCA
TCGA-ZF-A9RF-01A-11R-A38B-07,-11.241159,4.417837,TCGA-BLCA
TCGA-FD-A3SJ-01A-12R-A22U-07,-7.0965576,21.133558,TCGA-BLCA
TCGA-LT-A5Z6-01A-11R-A28M-07,-7.5337515,23.60555,TCGA-BLCA
TCGA-FD-A3B3-01A-12R-A206-07,-0.9163132,16.400034,TCGA-BLCA
TCGA-CF-A9FF-01A-11R-A38B-07,-9.538428,22.20413,TCGA-BLCA
TCGA-ZF-AA53-01A-11R-A39I-07,-2.4432385,17.959929,TCGA-BLCA
TCGA-DK-A3X1-01A-12R-A22U-07,-6.4010854,20.49619,TCGA-BLCA
TCGA-GC-A6I3-01A-11R-A31N-07,-9.211277,19.178942,TCGA-BLCA
TCGA-ZF-A9RE-01A-11R-A38B-07,6.02835,14.628266,TCGA-BLCA
TCGA-YF-AA3L-01A-11R-A38B-07,-10.440379,20.06045,TCGA-BLCA
TCGA-HQ-A2OE-01A-11R-A206-07,-7.414933,22.104477,TCGA-BLCA
TCGA-FJ-A3ZF-01A-11R-A23N-07,-7.943696,21.442776,TCGA-BLCA
TCGA-DK-A1A6-01A-11R-A13Y-07,-6.0731354,20.392748,TCGA-BLCA
TCGA-XF-A9T8-01A-11R-A39I-07,-1.9603963,18.804358,TCGA-BLCA
TCGA-BT-A20J-01A-11R-A14Y-07,9.387152,12.352814,TCGA-BLCA
TCGA-GU-A42Q-01A-11R-A23W-07,3.4696913,17.241423,TCGA-BLCA
TCGA-GV-A40G-01A-11R-A23N-07,-8.645403,21.199245,TCGA-BLCA
TCGA-GU-A762-01A-11R-A33J-07,-2.368075,14.802917,TCGA-BLCA
TCGA-XF-AAMX-01A-11R-A42T-07,-6.64024,22.304081,TCGA-BLCA
TCGA-BT-A20V-01A-11R-A14Y-07,2.231316,15.702275,TCGA-BLCA
TCGA-DK-A1AG-01A-11R-A13Y-07,-9.077824,22.998495,TCGA-BLCA
TCGA-SY-A9G5-01A-11R-A38B-07,-3.7370305,18.23329,TCGA-BLCA
TCGA-CU-A72E-01A-12R-A33J-07,3.4792373,17.178532,TCGA-BLCA
TCGA-CF-A1HS-01A-11R-A13Y-07,-2.7032387,19.036085,TCGA-BLCA
TCGA-E7-A3X6-01A-12R-A22U-07,-4.350605,19.521212,TCGA-BLCA
TCGA-E7-A85H-01A-11R-A352-07,-6.616953,21.37714,TCGA-BLCA
TCGA-CU-A0YO-01A-11R-A10U-07,-5.4574943,18.70515,TCGA-BLCA
TCGA-E7-A6MD-01A-41R-A352-07,-6.8985457,19.60152,TCGA-BLCA
TCGA-ZF-AA56-01A-31R-A39I-07,-2.6213825,18.90434,TCGA-BLCA
TCGA-G2-AA3C-01A-21R-A39I-07,-9.938432,4.4863877,TCGA-BLCA
TCGA-XF-AAME-01A-12R-A42T-07,-6.2304444,15.74332,TCGA-BLCA
TCGA-GU-A42P-01A-11R-A23W-07,-7.7378936,21.562653,TCGA-BLCA
TCGA-GV-A3JW-01A-11R-A20F-07,-7.539784,22.348038,TCGA-BLCA
TCGA-FD-A3SP-01A-31R-A22U-07,-1.8485957,16.157957,TCGA-BLCA
TCGA-BT-A3PK-01A-21R-A220-07,-0.39067465,17.226404,TCGA-BLCA
TCGA-G2-A3IE-01A-11R-A20F-07,-8.242463,23.180105,TCGA-BLCA
TCGA-UY-A78P-01A-12R-A36F-07,-2.3914375,18.186335,TCGA-BLCA
TCGA-ZF-AA54-01A-11R-A39I-07,-10.586741,3.8807185,TCGA-BLCA
TCGA-ZF-A9R3-01A-11R-A38B-07,-8.869061,23.15733,TCGA-BLCA
TCGA-GC-A3BM-01A-11R-A22U-07,-6.9837103,22.454428,TCGA-BLCA
TCGA-MV-A51V-01A-11R-A26T-07,-5.5820475,20.861082,TCGA-BLCA
TCGA-UY-A9PB-01A-11R-A38B-07,-2.1607533,16.267803,TCGA-BLCA
TCGA-S5-A6DX-01A-11R-A31N-07,-9.232162,19.166182,TCGA-BLCA
TCGA-E7-A7XN-01A-11R-A352-07,-1.5005178,18.92503,TCGA-BLCA
TCGA-CF-A5UA-01A-11R-A28M-07,-10.411293,19.853514,TCGA-BLCA
TCGA-FD-A5BX-01A-11R-A26T-07,-6.6563272,5.6284647,TCGA-BLCA
TCGA-GD-A76B-01A-11R-A32O-07,-7.282424,19.697498,TCGA-BLCA
